BAY_SEG,Year,source,tnload,TN,TN%,,tpload,TP,TP%,,tssload,TSS,TSS%,,bodload,BOD,BOD%,,h2oload10e6m3
5,2019,NPS,168.926828,229.7122735,73.54%,,28.26853063,41.38194135,68.31%,,5508.834163,5518.425929,99.83%,,987.7839345,999.1512483,98.86%,,87.74735724
5,2020,AD,14.21278602,,10.19%,,0.251966807,,1.06%,,,,0.00%,,,,0.00%,,32.22258229
5,2020,DPS,40.7180671,,29.21%,,9.341192939,,39.35%,,13.82397149,,0.50%,,17.55588507,,3.43%,,24.83759594
5,2020,GW,0.001507962,,0.00%,,0.014246271,,0.06%,,,,0.00%,,,,0.00%,,0.04756536
5,2020,NPS,84.4878966,139.4202577,60.60%,,14.13411197,23.74151799,59.53%,,2759.895179,2773.71915,99.50%,,494.9856251,512.5415102,96.57%,,43.97797068
5,2021,AD,10.92737917,,8.04%,,0.199676214,,0.86%,,,,0.00%,,,,0.00%,,27.80500407
5,2021,DPS,45.05504417,,33.14%,,9.724785037,,41.70%,,14.22387065,,0.54%,,9.570814333,,2.00%,,25.32359991
5,2021,GW,0.001507962,,0.00%,,0.014246271,,0.06%,,,,0.00%,,,,0.00%,,0.04756536
5,2021,NPS,79.96649717,135.9504285,58.82%,,13.38234213,23.32104965,57.38%,,2611.649566,2625.873437,99.46%,,468.3685668,477.9393811,98.00%,,41.61124866
6,2017,AD,7.422783499,,29.24%,,0.136525128,,3.60%,,,,0.00%,,,,0.00%,,19.56632405
6,2017,DPS,0.832250881,,3.28%,,0.034166713,,0.90%,,0.326380313,,0.08%,,0.704978074,,0.88%,,0.319772679
6,2017,GW,0.022142775,,0.09%,,0.116269524,,3.07%,,,,0.00%,,,,0.00%,,0.771050802
6,2017,NPS,17.10550198,25.38267914,67.39%,,3.504218655,3.79118002,92.43%,,392.3874107,392.713791,99.92%,,79.51874924,80.22372731,99.12%,,12.26866676
6,2018,AD,9.693061775,,47.38%,,0.171382982,,7.11%,,,,0.00%,,,,0.00%,,21.51150197
