bayseg,YEAR,MONTH,entity,facname,source,tnloadtons,tploadtons,tssloadtons,bodloadtons
1,2022,5,Ground Water,,Ground Water,0.5487808818,0.1630811084,0,0
1,2022,5,CHEVAL WEST,,Non-Point Source,0.0228275104,0.0023550848,0.8562797098,0.2101992541
1,2022,5,CLEARWATER,,Non-Point Source,0.7582517197,0.2140281831,36.520645618,6.9449354131
1,2022,5,Conservation,,Non-Point Source,0.4132406735,0.0451294355,4.8955281608,1.4146054308
1,2022,5,FDACS (Agriculture),,Non-Point Source,0.6585459994,0.0424527398,7.1163577293,1.1994560384
1,2022,5,HERITAGE HARBOR,,Non-Point Source,0.0214726409,0.0024053924,1.11563507,0.2289801753
1,2022,5,HILLSBOROUGH,,Non-Point Source,5.631689053,1.1042103157,205.68135113,40.644490741
1,2022,5,LARGO,,Non-Point Source,0.3693852206,0.0794025062,13.743949061,2.5486911988
1,2022,5,MSGP COT,,Non-Point Source,0.2283202722,0.0378312446,5.6474330653,1.8182484149
1,2022,5,MSGP PINELLAS,,Non-Point Source,0.3099784902,0.0549272305,10.552069765,2.5226074727
1,2022,5,MacDill AFB,,Non-Point Source,0.0237795376,0.0040574479,0.3900844849,0.149594889
1,2022,5,None,,Non-Point Source,0.0013189276,0.0000622521,0.016969974,0.0038713826
1,2022,5,OLDSMAR,,Non-Point Source,0.3447184326,0.0707408157,10.800340034,2.0438196609
1,2022,5,PALM BAY,,Non-Point Source,0.0030423761,0.0006778683,0.1074666019,0.0185508226
1,2022,5,PARK PLACE,,Non-Point Source,0.0382441321,0.0078908158,1.0487665017,0.207666985
1,2022,5,PASCO,,Non-Point Source,0.0667201565,0.0070319304,2.8452432288,0.6440315876
1,2022,5,PINELLAS,,Non-Point Source,0.9709703448,0.2186977062,36.260666649,6.8327933597
1,2022,5,PINELLAS PARK,,Non-Point Source,0.2685064035,0.0570221785,12.055668485,1.9109869478
1,2022,5,SAFETY HARBOR,,Non-Point Source,0.3344988744,0.0778895108,10.67594277,2.0373203484
1,2022,5,ST PETERSBURG,,Non-Point Source,0.2336792971,0.0499914689,9.512978979,1.7571735709
1,2022,5,STONEBRIAR,,Non-Point Source,0.0191925902,0.0021146761,0.9371321849,0.1981218492
1,2022,5,TARPON SPRINGS,,Non-Point Source,0.000129508,0,0.0303918631,0.0057414491
1,2022,5,Tampa,,Non-Point Source,1.358444155,0.2972102096,55.409171103,10.410577015
1,2022,5,WESTCHASE,,Non-Point Source,0.0904117543,0.0179661239,2.3419218548,0.4911489165
1,2022,5,WESTCHASE EAST,,Non-Point Source,0.1110275491,0.0225572131,3.1032606629,0.628288168
1,2022,5,Clearwater,City of Clearwater East AWWTF,PS - Domestic - REUSE,0.0145988671,0.0014655783,0.0007256747,0.0014228915
1,2022,5,Clearwater,City of Clearwater Northeast AWWTF,PS - Domestic - REUSE,0.4105378373,0.0802200372,0.0778606243,0.0786470953
1,2022,5,Largo,City of Largo,PS - Domestic - REUSE,0.1479677833,0.0248204024,0.0334120801,0.047731543
1,2022,5,Oldsmar,City of Oldsmar WRF,PS - Domestic - REUSE,0.0454031751,0.0006659132,0.0069618202,0.0121075133
1,2022,5,Hillsborough Co.,Northwest Regional WRF,PS - Domestic - REUSE,0.7456039558,0.0367331089,0.0203204432,0.0422039975
1,2022,5,Pinellas Co.,On Top Of The World WWTP,PS - Domestic - REUSE,0.0331249147,0.0002007571,0.0016060565,0.0025094632
1,2022,5,St. Petersburg,St Pete Facilities,PS - Domestic - REUSE,0.5051749218,0.0270331487,0.0319429317,0.0509102309
1,2022,5,Hillsborough Co.,Van Dyke WWTP,PS - Domestic - REUSE,0.0450746165,0.0121159213,0.0068628645,0.0118617412
1,2022,5,Pinellas Co.,William E. Dunn WRF (Pinellas NW),PS - Domestic - REUSE,0.030734457,0.0105293973,0.0142289153,0.0284578305
1,2022,5,Clearwater,City of Clearwater East AWWTF,PS - Domestic - SW,0.3716075251,0.2238337724,0.1108303145,0.2173143422
1,2022,5,Clearwater,City of Clearwater Northeast AWWTF,PS - Domestic - SW,0.0495166251,0.0580539743,0.0563465044,0.056915661
1,2022,5,Largo,City of Largo,PS - Domestic - SW,0.6616445597,0.2219710781,0.2988072205,0.4268674578
1,2022,5,Oldsmar,City of Oldsmar WRF,PS - Domestic - SW,0.010826911,0.0019247842,0.0120299011,0.0240598022
1,2022,5,Hillsborough Co.,Northwest Regional WRF,PS - Domestic - SW,0.6085849347,0.1798961757,0.0995170333,0.2066892231
1,2022,5,Duke Energy,Duke Energy-Bartow Plant,PS - Industrial,0.1728166435,0,0.020696604,0.1986873986
1,2022,6,Atmospheric Deposition,,Atmospheric Deposition,35.589086269,0.5516830438,0,0
1,2022,6,Ground Water,,Ground Water,0.5487808818,0.1630811084,0,0
1,2022,6,CHEVAL WEST,,Non-Point Source,0.0182084923,0.0020670934,0.5765723351,0.1415240512
