year,month,bayseg,basin,entity,CLUCSID,tnloadtons,tploadtons,tssloadtons,bodloadtons
2022,10,1,02306647,HILLSBOROUGH,18,0.1142803039,0.01942386,0.9795318095,0.4354049952
2022,10,1,02306647,HILLSBOROUGH,20,0.0630251386,0.0107121365,0.5401786934,0.2401260628
2022,10,1,02306647,Tampa,1,0.0003737169,0.0000808318,0.0042449672,0.0010237264
2022,10,1,02306647,Tampa,2,0.0002242458,0.0000449919,0.0043939745,0.0008792349
2022,10,1,02306647,Tampa,3,0.0030811058,0.0007181896,0.1139903725,0.0192956993
2022,10,1,02306647,Tampa,4,0.0008499646,0.0001606488,0.0434731758,0.0088867264
2022,10,1,02306647,Tampa,7,0.0000702783,0.0000117392,0.0014346457,0.0005778963
2022,10,1,02306647,Tampa,16,0,0,0,0
2022,11,1,02306647,FDACS (Agriculture),8,0.0635461964,0.0006836655,0.6960105943,0.090087688
2022,11,1,02306647,FDACS (Agriculture),10,0.0031021294,0.0012601701,0.0124173894,0.0072146248
2022,11,1,02306647,FDACS (Agriculture),11,0.0014261788,0.0008480122,0.0095518284,0.0047853549
2022,11,1,02306647,HILLSBOROUGH,1,0.1238701751,0.0272018937,1.442415455,0.3476673261
2022,11,1,02306647,HILLSBOROUGH,2,0.6742011493,0.1373386502,13.54299733,2.7084828419
2022,11,1,02306647,HILLSBOROUGH,3,0.8158250349,0.1930735054,30.942161356,5.2348823626
2022,11,1,02306647,HILLSBOROUGH,4,0.289711036,0.05559487,15.190694486,3.1035732464
2022,11,1,02306647,HILLSBOROUGH,5,0.1883979741,0.0410605872,13.344143114,1.3391383876
2022,11,1,02306647,HILLSBOROUGH,7,0.1028677323,0.017445763,2.1527556374,0.8666902927
2022,11,1,02306647,HILLSBOROUGH,9,0.0008492142,9.273533E-6,0.009313042,0.0011999984
2022,11,1,02306647,HILLSBOROUGH,15,0.0074406147,0.0013085985,0.10435383,0.0297219127
2022,11,1,02306647,HILLSBOROUGH,16,0,0,0,0
2022,11,1,02306647,HILLSBOROUGH,18,0.1423033172,0.0245568306,1.2504151906,0.5555114747
2022,11,1,02306647,HILLSBOROUGH,20,0.0784797988,0.013542951,0.6895624141,0.30636515
2022,11,1,02306647,Tampa,1,0.0004570277,0.0001003633,0.0053218931,0.001282743
2022,11,1,02306647,Tampa,2,0.0002765361,0.000056332,0.005554912,0.0011109346
2022,11,1,02306647,Tampa,3,0.0037940166,0.0008978936,0.1438973658,0.0243449633
2022,11,1,02306647,Tampa,4,0.0010551896,0.0002024884,0.0553277594,0.0113038778
2022,11,1,02306647,Tampa,7,0.0000869967,0.0000147541,0.0018206169,0.0007329727
2022,11,1,02306647,Tampa,16,0,0,0,0
2022,12,1,02306647,FDACS (Agriculture),8,0.0613392589,0.0006570566,0.6689212149,0.0865813915
2022,12,1,02306647,FDACS (Agriculture),10,0.0029943935,0.0012111231,0.011934093,0.0069338249
2022,12,1,02306647,FDACS (Agriculture),11,0.0013766481,0.0008150068,0.0091800624,0.0045991044
2022,12,1,02306647,HILLSBOROUGH,1,0.1195682065,0.0261431707,1.3862753044,0.3341357905
2022,12,1,02306647,HILLSBOROUGH,2,0.650786375,0.1319933023,13.015891283,2.6030661716
2022,12,1,02306647,HILLSBOROUGH,3,0.7874917117,0.1855589051,29.737863669,5.0311358741
2022,12,1,02306647,HILLSBOROUGH,4,0.2796494712,0.053431066,14.599458533,2.9827792902
2022,12,1,02306647,HILLSBOROUGH,5,0.1818549772,0.0394624709,12.824776657,1.2870178765
2022,12,1,02306647,HILLSBOROUGH,7,0.0992951713,0.0167667576,2.0689683865,0.8329579007
2022,12,1,02306647,HILLSBOROUGH,9,0.0008197212,8.9125985E-6,0.0089505698,0.0011532934
2022,12,1,02306647,HILLSBOROUGH,15,0.0071822047,0.0012576667,0.1002922819,0.0285651082
2022,12,1,02306647,HILLSBOROUGH,16,0,0,0,0
2022,12,1,02306647,HILLSBOROUGH,18,0.1373611719,0.023601056,1.2017478688,0.5338904516
2022,12,1,02306647,HILLSBOROUGH,20,0.0757542224,0.0130158468,0.6627240039,0.2944411335
2022,12,1,02306647,Tampa,1,0.0004411553,0.0000964571,0.0051147601,0.0012328175
2022,12,1,02306647,Tampa,2,0.0002669321,0.0000541395,0.0053387096,0.001067696
2022,12,1,02306647,Tampa,3,0.0036622517,0.0008629468,0.1382967466,0.0233974347
2022,12,1,02306647,Tampa,4,0.0010185432,0.0001946074,0.0531743516,0.0108639203
2022,12,1,02306647,Tampa,7,0.0000839754,0.0000141799,0.0017497568,0.0007044447
2022,12,1,02306647,Tampa,16,0,0,0,0
2023,1,1,02306647,FDACS (Agriculture),8,0.0467196486,0.0004931875,0.5020930861,0.0649880989
2023,1,1,02306647,FDACS (Agriculture),10,0.0022807092,0.0009090705,0.0089577449,0.0052045375
2023,1,1,02306647,FDACS (Agriculture),11,0.0010485376,0.0006117451,0.0068905661,0.0034520934
2023,1,1,02306647,HILLSBOROUGH,1,0.0910702981,0.0196230961,1.0405399475,0.2508027351
2023,1,1,02306647,HILLSBOROUGH,2,0.4956778304,0.0990743349,9.7697439959,1.953864668
2023,1,1,02306647,HILLSBOROUGH,3,0.5998007919,0.1392807422,22.321277023,3.7763767713
2023,1,1,02306647,HILLSBOROUGH,4,0.2129977647,0.0401054238,10.95837152,2.2388778016
2023,1,1,02306647,HILLSBOROUGH,5,0.1385116284,0.0296205792,9.6262931231,0.9660372001
2023,1,1,02306647,HILLSBOROUGH,7,0.0756291419,0.0125851489,1.5529702141,0.6252192241
2023,1,1,02306647,HILLSBOROUGH,9,0.0006243487,6.6898074E-6,0.0067183087,0.0008656634
2023,1,1,02306647,HILLSBOROUGH,15,0.0054703967,0.0009440062,0.0752795101,0.0214410053
2023,1,1,02306647,HILLSBOROUGH,16,0,0,0,0
2023,1,1,02306647,HILLSBOROUGH,18,0.1046224848,0.0177149816,0.9020334275,0.4007388293
2023,1,1,02306647,HILLSBOROUGH,20,0.057698947,0.0097697106,0.4974414519,0.2210078767
2023,1,1,02306647,Tampa,1,0.0003360103,0.0000724008,0.0038391452,0.0009253543
2023,1,1,02306647,Tampa,2,0.0002033115,0.0000406372,0.004007242,0.0008014139
2023,1,1,02306647,Tampa,3,0.00278939,0.0006477289,0.103805708,0.0175621432
2023,1,1,02306647,Tampa,4,0.0007757834,0.0001460725,0.0399127336,0.008154472
2023,1,1,02306647,Tampa,7,0.0000639607,0.0000106434,0.0013133696,0.000528757
2023,1,1,02306647,Tampa,16,0,0,0,0
2023,2,1,02306647,FDACS (Agriculture),8,0.0184865292,0.0001928845,0.1963674181,0.0254166917
